metric,f_statistic,p_value,eta_squared,significant
RAGAS_faithfulness,6.070619230376713,0.0027644914246858173,0.05805281899500567,True
RAGAS_answer_relevancy,3.7672471810623307,0.024798018030349686,0.0368372796267068,True
RAGAS_context_precision,4.755110858059501,0.009620116020982452,0.046052062881382715,True
RAGAS_context_recall,3.7048095782655084,0.02633554818867604,0.03624887706902353,True
DeepEval_faithfulness,6.846681687708988,0.0013344858143366038,0.064991906513063,True
DeepEval_answer_relevancy,6.414661418882147,0.0020003437700035686,0.061141706336647936,True
DeepEval_contextual_precision,4.924989848836771,0.008181976735014003,0.047618954142852755,True
DeepEval_contextual_recall,2.59305665500043,0.07734244315226062,0.025650195382356827,False
DeepEval_hallucination,1.8164325758106787,0.16531751661388125,0.01810702921914586,False
G-Eval_coherence,6.335776464405829,0.002154176900581704,0.060435250999995915,True
G-Eval_consistency,4.047995753939882,0.018929615640840062,0.03947415767786351,True
G-Eval_fluency,4.479282442009276,0.012520087427541593,0.043496928079021106,True
G-Eval_relevance,2.4288414562746925,0.09077428288279878,0.024064889889050374,False
RAGChecker_claim_recall,4.462018545039594,0.01272856529403044,0.04333654883706216,True
RAGChecker_context_utilization,6.412060452554194,0.0020052345167318546,0.061118430282417514,True
RAGChecker_faithfulness,2.018248596051192,0.1356265699030106,0.020078429780067596,False
RAGChecker_noise_sensitivity,0.6095696305057091,0.54460680244525,0.006150461885550226,False
RAGChecker_hallucination,1.3490837028993647,0.26186439430546493,0.013511227673491362,False
TRACe_utilization,33.189414947491635,3.781883809435423e-13,0.2520279626173845,True
TRACe_relevance,4.9666583952117636,0.007863701578222892,0.04800250121387514,True
TRACe_adherence,24.2738221729223,3.771809286483206e-10,0.1977117087609568,True
TRACe_completeness,19.063630987077964,2.701339060754529e-08,0.16215585404276384,True
ARES_context_relevance,4.577107753904541,0.011402225467417938,0.04440469715964807,True
ARES_answer_faithfulness,23.167364989715683,9.200673412121307e-10,0.19041560562829637,True
ARES_answer_relevance,3.9073515747989576,0.02166965193903453,0.038154990971961705,True
BERTScore_precision,12.768571255344815,6.10627443492212e-06,0.11475451793159855,True
BERTScore_recall,9.892915611940804,8.051563417792038e-05,0.09126902395871132,True
BERTScore_f1,10.587604529358247,4.291323940182855e-05,0.09705598152087809,True
UniEval_coherence,2.0233989001288504,0.13494381879963113,0.020128635942156373,False
UniEval_consistency,13.89806719378629,2.2579933329763594e-06,0.12365041090808583,True
UniEval_fluency,10.128871038872887,6.499201497437956e-05,0.09324290073168726,True
UniEval_relevance,1.037620850155562,0.35622466458576,0.010424408794315157,False
UniEval_overall,15.013651763226656,8.535546261720557e-07,0.13226296159111328,True
QAFactEval_factual_consistency,1.6314918962574017,0.1982695594425646,0.016293494337902514,False
FaithJudge_faithfulness,3.9987340201149872,0.019847066202471286,0.03901252106518955,True
FaithJudge_hallucination_rate,2.28107216967316,0.10486721453009983,0.02263393433474084,False
FaithJudge_grounding_score,1.982401726373181,0.14047628512583166,0.019728844974979055,False
FaithJudge_subtle_error_detection,1.1265922990177213,0.32621509470469107,0.011308148487467933,False
ReDeEP_external_context_score,19.49128145462829,1.889086289193926e-08,0.16519255672397606,True
ReDeEP_parametric_knowledge_score,30.189965347430736,3.658620271822147e-12,0.23459455650582683,True
ReDeEP_redeep_score,25.91774992534153,1.0175550760879616e-10,0.20831231830581917,True
ReDeEP_copying_head_signal,3.7171803124581553,0.026023450691830766,0.03636551410531444,True
LettuceDetect_token_hallucination,10.20189918332975,6.0829074635697426e-05,0.09385207857430217,True
LettuceDetect_span_precision,9.574843543900597,0.00010754595437690636,0.0885945630817522,True
LettuceDetect_example_f1,7.329463084331101,0.0008505881247267885,0.06925730199056725,True
LettuceDetect_confidence,14.559341661745773,1.2670190845426928e-06,0.1287761050767908,True
LRP4RAG_context_relevance,4.751494382739581,0.009653362638363435,0.0460186500073929,True
LRP4RAG_response_relevance,0.3667325805417624,0.6934670410496258,0.003709362805562571,False
LRP4RAG_relevance_consistency,21.264334600211896,4.347197486320008e-09,0.17755147783515732,True
LRP4RAG_lrp_classifier_score,4.241227446593099,0.01572573078577399,0.0412806772120546,True
LUMINA_context_utilization,31.902089179656908,9.952692747240456e-13,0.24464400363789376,True
LUMINA_knowledge_utilization,9.584765679824354,0.00010657783521081718,0.08867822971663714,True
LUMINA_lumina_score,20.914785147915573,5.79756594781803e-09,0.17514401689882075,True
LUMINA_signal_confidence,12.034228066431641,1.1722914987848301e-05,0.1088733171339382,True
HALT-RAG_nli_ensemble_score,1.3315367192133347,0.26643710562206574,0.013337836549170048,False
HALT-RAG_lexical_overlap,11.504342492354606,1.881917120474753e-05,0.10458080319105748,True
HALT-RAG_calibrated_confidence,2.515814029666862,0.08339038205501771,0.024905150285954226,False
HALT-RAG_abstention_score,6.001295895509319,0.00295109786483164,0.05742795669739851,True
MetaRAG_factoid_consistency,28.032630514355816,1.934277729636878e-11,0.22154467508027778,True
MetaRAG_synonym_stability,1.756918110912736,0.1752690363136741,0.01752415837248309,False
MetaRAG_antonym_detection,1.4704476587158783,0.232333842333531,0.014708823388845521,False
MetaRAG_metarag_score,16.637125473397404,2.1074317417948402e-07,0.1444983571110729,True
KG-RAG_kg_faithfulness,28.602027157293588,1.2429386708915568e-11,0.22503202975588638,True
KG-RAG_kg_relevancy,11.44570836333524,1.983389250703424e-05,0.10410327545947361,True
KG-RAG_community_overlap,29.229841774799862,7.65014815463372e-12,0.2288411335100136,True
KG-RAG_multi_hop_score,10.32822382694318,5.425339246806046e-05,0.09490390878166823,True
GaRAGe_relevance_aware_factuality,8.25397365745314,0.0003611102557263436,0.07731771825129519,True
GaRAGe_grounding_precision,5.777839769046632,0.0036437969898758253,0.05540812680664773,True
GaRAGe_deflection_score,4.006499179740839,0.01969951979035658,0.03908531860712183,True
GaRAGe_over_summarization,1.6728246993251261,0.1903713347703447,0.016699386329038942,False
HSAD_spectral_consistency,19.732779104544225,1.5444923282241144e-08,0.16689770175406296,True
HSAD_temporal_stability,15.128171987553593,7.72850939369926e-07,0.13313751090892023,True
HSAD_confidence_score,31.74960730502679,1.1168403030827617e-12,0.24375971614773131,True
HSAD_hallucination_probability,3.069804311335384,0.048657977733280476,0.030223591865213315,True
SIRG_semantic_grounding,8.420982165752323,0.00030957733997804,0.07875893014804014,True
SIRG_linking_ratio,0.3863269946835937,0.6800619629495792,0.003906778686444349,False
SIRG_attribution_consistency,16.044279699504678,3.5041949290278476e-07,0.1400705451341196,True
SIRG_sirg_score,9.477087340529945,0.00011757237399362567,0.08776942936645268,True
