,RAGAS_faithfulness,DeepEval_faithfulness,DeepEval_hallucination,G-Eval_consistency,RAGChecker_faithfulness,RAGChecker_hallucination,TRACe_adherence,ARES_answer_faithfulness,UniEval_consistency,QAFactEval_factual_consistency,FaithJudge_faithfulness,FaithJudge_hallucination_rate,LettuceDetect_token_hallucination,LRP4RAG_relevance_consistency,MetaRAG_factoid_consistency,KG-RAG_kg_faithfulness,GaRAGe_relevance_aware_factuality,HSAD_spectral_consistency,HSAD_hallucination_probability,SIRG_attribution_consistency
RAGAS_faithfulness,1.0,0.5605040509052869,0.44319487750899456,0.5586796416022133,-0.041730808496897955,-0.03817655807204562,0.3521544729697431,0.31883818187595847,0.3187996961452972,-0.03956506645487557,0.6874701577242615,0.6669377395977137,0.2542890226182773,0.32629324349359046,0.2363617038355498,0.3459133790396604,0.2236984564850857,0.3847887794203166,0.24927930169821333,0.32386176265050576
DeepEval_faithfulness,0.5605040509052869,1.0,0.31569968954426547,0.3785227873089047,-0.007351200093621214,0.019854681869082746,0.47708648989736335,0.5348237328297463,0.5194029293076765,-0.032826757895398996,0.49691111367423846,0.47732995399233963,0.3922340858853903,0.43087771756500587,0.283292838420695,0.4492468567858097,0.33729025557360265,0.513765400548845,0.34093556706852973,0.46273313723932663
DeepEval_hallucination,0.44319487750899456,0.31569968954426547,1.0,0.5693480869841946,-0.028336717338963483,-0.05808156112621552,0.02305758667952407,0.056827333950330364,0.04942152023782472,-0.03764558356229426,0.5154407842211401,0.5024591139784322,0.04117160941300694,0.016174622090708947,0.1455641679265945,0.12108802217185421,0.1552680616770049,0.1022626754321996,0.06817461473742172,0.07174841917373259
G-Eval_consistency,0.5586796416022133,0.3785227873089047,0.5693480869841946,1.0,0.033753023870820686,-0.036167882415596354,0.005457708307084808,-0.014567688189353422,0.019905441321462474,-0.003030458576624344,0.6240470017553126,0.6295008435114133,0.006943246453553461,0.05522193281442176,0.0990879240108901,0.11352800957772673,0.08393641939309669,0.067908776053226,0.03428989625454302,0.09232665247239803
RAGChecker_faithfulness,-0.041730808496897955,-0.007351200093621214,-0.028336717338963483,0.033753023870820686,1.0,0.4846847386375,-0.036687512791502,-0.021843695964002353,-0.001371468945865476,0.18642386109131368,-0.03431953596963687,-0.021321683491841728,-0.045064662167902045,0.04926398207817004,0.04881625711327515,0.035019899081384885,-0.10217626382420668,-0.05074595983698863,-0.14114685576304786,-0.12731359713419063
RAGChecker_hallucination,-0.03817655807204562,0.019854681869082746,-0.05808156112621552,-0.036167882415596354,0.4846847386375,1.0,0.058383709988394476,0.06373367241495097,0.1015535647088341,0.21806600370515075,-0.01172310838736059,-0.019802261688921,0.07610308151750013,0.06823696453332344,0.08151499159994095,0.08176239145685694,0.007258668987701777,0.0019454125744432992,-0.006094748550896093,-0.0930542303065085
TRACe_adherence,0.3521544729697431,0.47708648989736335,0.02305758667952407,0.005457708307084808,-0.036687512791502,0.058383709988394476,1.0,0.902724860455793,0.8560914804733152,-0.19517412787753916,0.12200382073913996,0.09491991374594304,0.7337287711791464,0.8162412502179233,0.36837705827589967,0.7134560573753524,0.40628977928175997,0.9012847868124753,0.6857618384724052,0.6096693853928082
ARES_answer_faithfulness,0.31883818187595847,0.5348237328297463,0.056827333950330364,-0.014567688189353422,-0.021843695964002353,0.06373367241495097,0.902724860455793,1.0,0.8561943517135745,-0.18065389145165783,0.11006934379516353,0.0834294777461706,0.7449594967859309,0.7791762381578061,0.35984008974911474,0.6909956352890316,0.48192753832637486,0.8739195083498464,0.6733775249922298,0.5552483071455594
UniEval_consistency,0.3187996961452972,0.5194029293076765,0.04942152023782472,0.019905441321462474,-0.001371468945865476,0.1015535647088341,0.8560914804733152,0.8561943517135745,1.0,-0.14951663099224768,0.12862232634087808,0.10395191635781142,0.7229878857164208,0.7240205290670527,0.36176433130964414,0.670049531316582,0.4163994971606315,0.8462513035116102,0.6247643902974302,0.5226140181631511
QAFactEval_factual_consistency,-0.03956506645487557,-0.032826757895398996,-0.03764558356229426,-0.003030458576624344,0.18642386109131368,0.21806600370515075,-0.19517412787753916,-0.18065389145165783,-0.14951663099224768,1.0,-0.05677214053998902,-0.03200182276877178,-0.2138996861768141,-0.27652478106177525,-0.22774243452999954,-0.1846777550682648,-0.11648015544520536,-0.2754049740370321,-0.20409989434617007,-0.2745035827171995
FaithJudge_faithfulness,0.6874701577242615,0.49691111367423846,0.5154407842211401,0.6240470017553126,-0.03431953596963687,-0.01172310838736059,0.12200382073913996,0.11006934379516353,0.12862232634087808,-0.05677214053998902,1.0,0.983137667440359,0.09793910659836565,0.1724611289089733,0.1021301887577737,0.14625110585376327,0.13129337011272071,0.17729301936811223,0.1749345444160474,0.21472412794211354
FaithJudge_hallucination_rate,0.6669377395977137,0.47732995399233963,0.5024591139784322,0.6295008435114133,-0.021321683491841728,-0.019802261688921,0.09491991374594304,0.0834294777461706,0.10395191635781142,-0.03200182276877178,0.983137667440359,1.0,0.07186383311757695,0.1375100925823905,0.049145949486870226,0.10884289993758388,0.11037887303612437,0.1449526852397509,0.17775106360330206,0.17849237153368758
LettuceDetect_token_hallucination,0.2542890226182773,0.3922340858853903,0.04117160941300694,0.006943246453553461,-0.045064662167902045,0.07610308151750013,0.7337287711791464,0.7449594967859309,0.7229878857164208,-0.2138996861768141,0.09793910659836565,0.07186383311757695,1.0,0.7519154320802143,0.3297390518381587,0.6240536463875058,0.4848377696312701,0.7312143948166022,0.6163879956479242,0.520568501019084
LRP4RAG_relevance_consistency,0.32629324349359046,0.43087771756500587,0.016174622090708947,0.05522193281442176,0.04926398207817004,0.06823696453332344,0.8162412502179233,0.7791762381578061,0.7240205290670527,-0.27652478106177525,0.1724611289089733,0.1375100925823905,0.7519154320802143,1.0,0.45667880964540447,0.7653656517678877,0.37584698154650353,0.7970791362137701,0.5932178615362649,0.7479158681643147
MetaRAG_factoid_consistency,0.2363617038355498,0.283292838420695,0.1455641679265945,0.0990879240108901,0.04881625711327515,0.08151499159994095,0.36837705827589967,0.35984008974911474,0.36176433130964414,-0.22774243452999954,0.1021301887577737,0.049145949486870226,0.3297390518381587,0.45667880964540447,1.0,0.7145429630487606,0.2551233801416749,0.4044907834682669,0.12357527224747043,0.4098859937192907
KG-RAG_kg_faithfulness,0.3459133790396604,0.4492468567858097,0.12108802217185421,0.11352800957772673,0.035019899081384885,0.08176239145685694,0.7134560573753524,0.6909956352890316,0.670049531316582,-0.1846777550682648,0.14625110585376327,0.10884289993758388,0.6240536463875058,0.7653656517678877,0.7145429630487606,1.0,0.4234251490581082,0.711784520262069,0.48454420513896834,0.5853621177314802
GaRAGe_relevance_aware_factuality,0.2236984564850857,0.33729025557360265,0.1552680616770049,0.08393641939309669,-0.10217626382420668,0.007258668987701777,0.40628977928175997,0.48192753832637486,0.4163994971606315,-0.11648015544520536,0.13129337011272071,0.11037887303612437,0.4848377696312701,0.37584698154650353,0.2551233801416749,0.4234251490581082,1.0,0.397394513915558,0.3944869181310321,0.2780752889055047
HSAD_spectral_consistency,0.3847887794203166,0.513765400548845,0.1022626754321996,0.067908776053226,-0.05074595983698863,0.0019454125744432992,0.9012847868124753,0.8739195083498464,0.8462513035116102,-0.2754049740370321,0.17729301936811223,0.1449526852397509,0.7312143948166022,0.7970791362137701,0.4044907834682669,0.711784520262069,0.397394513915558,1.0,0.7316547084321301,0.6427400975985194
HSAD_hallucination_probability,0.24927930169821333,0.34093556706852973,0.06817461473742172,0.03428989625454302,-0.14114685576304786,-0.006094748550896093,0.6857618384724052,0.6733775249922298,0.6247643902974302,-0.20409989434617007,0.1749345444160474,0.17775106360330206,0.6163879956479242,0.5932178615362649,0.12357527224747043,0.48454420513896834,0.3944869181310321,0.7316547084321301,1.0,0.4148260003645159
SIRG_attribution_consistency,0.32386176265050576,0.46273313723932663,0.07174841917373259,0.09232665247239803,-0.12731359713419063,-0.0930542303065085,0.6096693853928082,0.5552483071455594,0.5226140181631511,-0.2745035827171995,0.21472412794211354,0.17849237153368758,0.520568501019084,0.7479158681643147,0.4098859937192907,0.5853621177314802,0.2780752889055047,0.6427400975985194,0.4148260003645159,1.0
